City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
199,Port Blair,IN,11.6667,92.75,80.85,66,0,11.41,clear sky
200,Cabo San Lucas,MX,22.8909,-109.9124,64.4,55,1,9.22,clear sky
201,Pathein,MM,16.7833,94.7333,79.43,55,0,5.39,clear sky
202,Yellowknife,CA,62.456,-114.3525,12.2,92,75,9.22,light snow
203,Luderitz,NA,-26.6481,15.1594,65.03,88,96,7.02,overcast clouds
204,Nalut,LY,30.3333,10.85,41.72,63,0,4.83,clear sky
205,Nakasongola,UG,1.3089,32.4564,70.09,51,51,2.91,broken clouds
206,Verkhnyaya Inta,RU,65.9811,60.3094,-11.42,88,100,15.55,overcast clouds
207,Saint-Pierre,RE,-21.3393,55.4781,80.6,83,90,2.3,overcast clouds
208,Tessalit,ML,20.1986,1.0114,62.11,27,0,10.31,clear sky
209,Urengoy,RU,65.9667,78.3667,11.21,95,100,16.06,light snow
210,Tarata,BO,-17.6167,-66.0167,60.8,82,75,3.09,light rain
211,Dauphin,CA,51.1494,-100.0502,39.34,77,100,12.91,moderate rain
212,Blackwater,AU,-23.5833,148.8833,90.64,26,2,15.21,clear sky
213,Simbahan,PH,6.3032,120.5836,82.45,79,57,10.04,heavy intensity rain
214,Verkhnevilyuysk,RU,63.4453,120.3167,-20.38,86,99,7.29,overcast clouds
215,Hithadhoo,MV,-0.6,73.0833,82.06,75,63,20.58,broken clouds
216,Mar Del Plata,AR,-38.0023,-57.5575,64.99,63,0,10.36,clear sky
217,Mahibadhoo,MV,3.7833,72.9667,81.18,81,80,12.93,light rain
218,Lorengau,PG,-2.0226,147.2712,86.14,66,87,9.55,overcast clouds
219,Hervey Bay,AU,-25.2986,152.8535,84.99,50,1,7.0,clear sky
220,San Quintin,MX,30.4833,-115.95,59.97,45,0,4.29,clear sky
221,Juneau,US,58.3019,-134.4197,37.4,87,75,8.05,light rain
222,Qarqin,AF,37.4185,66.0436,38.46,65,0,6.62,clear sky
223,Sri Aman,MY,1.2376,111.4621,75.2,100,40,2.73,light rain
224,Zhezkazgan,KZ,47.8043,67.7144,-12.35,89,91,9.53,overcast clouds
225,Penzance,GB,50.1186,-5.5371,50.0,100,90,21.85,light rain
226,Longyearbyen,SJ,78.2186,15.6401,17.6,86,75,8.05,broken clouds
227,Portel,BR,-1.9356,-50.8211,73.94,95,91,3.53,overcast clouds
